SA Param,R,batch_d_rt,batch_c_rt,vd,vc,Lower bound,Upper bound,Optimality Gap,Status,Objective
vd,0.95,21,31,4.5,0.0,21.9431404469701,21.9431404469701,0.0,optimal,21.943140446970077
vd,0.95,21,31,4.75,0.0,21.7667857611871,21.7667857611871,0.0,optimal,21.76678576118706
vd,0.95,21,31,5.0,0.0,21.5910581085289,21.5910581085289,0.0,optimal,21.591058108528916
vd,0.95,21,31,5.25,0.0,21.4153304558708,21.4153304558708,0.0,optimal,21.415330455870777
vd,0.95,21,31,5.5,0.0,21.2396028032126,21.2396028032126,0.0,optimal,21.239602803212627
vd,0.95,21,31,5.75,0.0,21.06782320319,21.06782320319,0.0,optimal,21.067823203190017
vd,0.95,21,31,6.0,0.0,20.8966724894475,20.8966724894475,0.0,optimal,20.896672489447536
vd,0.95,21,31,6.25,0.0,20.7255217757051,20.7255217757051,0.0,optimal,20.72552177570506
vd,0.95,21,31,6.5,0.0,20.5543710619626,20.5543710619626,0.0,optimal,20.554371061962588
vd,0.95,21,31,6.75,0.0,20.3837674471335,20.3837674471335,0.0,optimal,20.383767447133526
vd,0.95,21,31,7.0,0.0,20.2189540334281,20.2189540334281,0.0,optimal,20.218954033428133
vd,0.95,21,31,7.25,0.0,20.0541406197228,20.0541406197228,0.0,optimal,20.05414061972274
vd,0.95,21,31,7.5,0.0,19.8893272060174,19.8893272060174,0.0,optimal,19.88932720601734
vd,0.95,21,31,7.75,0.0,19.724513792312,19.724513792312,0.0,optimal,19.724513792311956
vd,0.95,21,31,8.0,0.0,19.5606629055838,19.5606629055838,0.0,optimal,19.56066290558382
vd,0.95,21,31,8.25,0.0,19.3969046934464,19.3969046934464,0.0,optimal,19.396904693446427
vd,0.95,21,31,8.5,0.0,19.233146481309,19.233146481309,0.0,optimal,19.23314648130904
vd,0.95,21,31,8.75,0.0,19.0738147795168,19.0738147795168,0.0,optimal,19.073814779516795
vd,0.95,21,31,9.0,0.0,18.9174429783554,18.9174429783554,0.0,optimal,18.917442978355425
vd,0.95,21,31,9.25,0.0,18.7620363478872,18.7620363478872,0.0,optimal,18.76203634788721
vd,0.95,21,31,9.5,0.0,18.6081266837178,18.6081266837178,0.0,optimal,18.608126683717835
vd,0.95,21,31,9.75,0.0,18.4542170195485,18.4542170195485,0.0,optimal,18.454217019548462
vd,0.95,21,31,10.0,0.0,18.3003073553791,18.3003073553791,0.0,optimal,18.300307355379086
