dum,t,solar,wind
621,621,0,0.011580913
622,622,0,0.130431535
623,623,0,0.253759336
624,624,0,0.355248963
625,625,0,0.437647303
626,626,0,0.80506639
627,627,0,0.769236515
628,628,0,0.72713278
629,629,0,0.615900415
630,630,0,0.535352697
631,631,0,0.594273859
632,632,0,0.867004149
633,633,0,0.93833195
634,634,0.23278,0.949697095
635,635,0.67752,0.933925311
636,636,0.7943,0.932232365
637,637,0.78502,0.88386722
638,638,0.80708,0.862431535
639,639,0.78326,0.796439834
640,640,0.73934,0.734630705
641,641,0.79768,0.508846473
642,642,0.16162,0.670618257
643,643,0,0.874634855
644,644,0,0.872062241
645,645,0,0.891925311
646,646,0,0.945157676
647,647,0,0.948958506
648,648,0,0.949979253
649,649,0,0.946095436
650,650,0,0.919651452
651,651,0,0.738593361
652,652,0,0.948128631
653,653,0,0.946493776
654,654,0,0.867788382
655,655,0,0.572112033
656,656,0,0.705609959
657,657,0,0.919825726
658,658,0.09602,0.949834025
659,659,0.46078,0.949489627
660,660,0.70742,0.945373444
661,661,0.7328,0.949892116
662,662,0.82232,0.926987552
663,663,0.78152,0.944850622
664,664,0.75392,0.950091286
665,665,0.79498,0.949605809
666,666,0.75922,0.950049793
667,667,0.41288,0.946319502
668,668,0,0.926120332
669,669,0,0.824236515
670,670,0,0.681539419
671,671,0,0.762560166
672,672,0,0.864551867
673,673,0,0.447319502
674,674,0,0.238659751
675,675,0,0.159817427
676,676,0,0.135120332
677,677,0,0.246995851
678,678,0,0.361244813
679,679,0,0.518153527
680,680,0,0.321024896
681,681,0,0.254854772
682,682,0.28068,0.399742739
683,683,0.77762,0.245987552
684,684,0.91724,0.281639004
685,685,0.91794,0.142846473
686,686,0.85846,0.172813278
687,687,0.88018,0.175352697
688,688,0.92016,0.157381743
689,689,0.90016,0.17679668
690,690,0.786,0.220481328
691,691,0.32872,0.245340249
692,692,0,0.439991701
693,693,0,0.702053942
694,694,0,0.794024896
695,695,0,0.842232365
696,696,0,0.902369295
697,697,0,0.801875519
698,698,0,0.832639004
699,699,0,0.624784232
700,700,0,0.322850622
701,701,0,0.243178423
702,702,0,0.273576763
703,703,0,0.178746888
704,704,0,0.161684647
705,705,0,0.192502075
706,706,0.04814,0.066452282
707,707,0.63318,0.006970954
708,708,0.33154,0
709,709,0.74784,0
710,710,0.7805,0
711,711,0.79068,0
712,712,0.83004,0
713,713,0.86096,0.004219917
714,714,0.77242,0.003161826
715,715,0.31478,0.007605809
716,716,0,0
717,717,0,0
718,718,0,0
719,719,0,0.000261411
720,720,0,0.010290456
721,721,0,0.011609959
722,722,0,0.021460581
723,723,0,0.008103734
724,724,0,0
725,725,0,0
726,726,0,0.00033195
727,727,0,0.002344398
728,728,0,0.048493776
729,729,0,0.095244813
730,730,0.06954,0.195950207
731,731,0.39398,0.103863071
732,732,0.2911,0.156502075
733,733,0.84598,0.174522822
734,734,0.85734,0.178676349
735,735,0.88722,0.119058091
736,736,0.92038,0.103651452
737,737,0.9054,0.119037344
738,738,0.9164,0.168452282
739,739,0.25478,0.204414938
740,740,0,0.389261411
741,741,0,0.653294606
742,742,0,0.749688797
743,743,0,0.795904564
744,744,0,0.841556017
745,745,0,0.847809129
746,746,0,0.847224066
747,747,0,0.779871369
748,748,0,0.801497925
749,749,0,0.741373444
750,750,0,0.888713693
751,751,0,0.908224066
752,752,0,0.933912863
753,753,0,0.933941909
754,754,0.3377,0.933850622
755,755,0.77726,0.61986722
756,756,0.84458,0.581817427
757,757,0.84774,0.620344398
758,758,0.82466,0.487506224
759,759,0.82096,0.404676349
760,760,0.89892,0.391215768
761,761,0.89914,0.306908714
762,762,0.66736,0.336149378
763,763,0.27062,0.131257261
