SA Param,R,batch_d_rt,batch_c_rt,vd,vc,p,Lower bound,Upper bound,Optimality Gap,Status,Objective
batch_d_rt,0.95,19,31,0.0,0.0,43.03994190705129,27.3406745022937,27.3406745022937,0.0,optimal,27.340674502293716
batch_d_rt,0.95,18,31,0.0,0.0,43.03994190705129,28.4217317706921,28.4217317706921,0.0,optimal,28.421731770692027
batch_d_rt,0.95,17,31,0.0,0.0,43.03994190705129,29.3027349658768,29.3027349658768,0.0,optimal,29.3027349658768
batch_d_rt,0.95,16,31,0.0,0.0,43.03994190705129,30.9087575146987,30.9087575146987,0.0,optimal,30.908757514698717
batch_d_rt,0.95,15,31,0.0,0.0,43.03994190705129,32.3430669863445,32.3430669863445,0.0,optimal,32.343066986344425
batch_d_rt,0.95,14,31,0.0,0.0,43.03994190705129,33.942573346105,33.942573346105,0.0,optimal,33.942573346104915
batch_d_rt,0.95,13,31,0.0,0.0,43.03994190705129,35.7145327650669,35.7145327650669,0.0,optimal,35.71453276506687
batch_d_rt,0.95,12,31,0.0,0.0,43.03994190705129,37.6837150303366,37.6837150303366,0.0,optimal,37.68371503033652
batch_d_rt,0.95,11,31,0.0,0.0,43.03994190705129,39.8999974439733,39.8999974439733,0.0,optimal,39.8999974439733
batch_d_rt,0.95,10,31,0.0,0.0,43.03994190705129,42.4004327305449,42.4004327305449,0.0,optimal,42.40043273054488
batch_d_rt,0.95,9,31,0.0,0.0,43.03994190705129,45.0882583856692,45.0882583856692,0.0,optimal,45.088258385669135
batch_d_rt,0.95,8,31,0.0,0.0,43.03994190705129,48.2934805803644,48.2934805803644,0.0,optimal,48.29348058036441
batch_d_rt,0.95,7,31,0.0,0.0,43.03994190705129,52.3386373575938,52.3386373575938,0.0,optimal,52.338637357593775
batch_d_rt,0.95,6,31,0.0,0.0,43.03994190705129,57.5220297252529,57.5220297252529,0.0,optimal,57.522029725252864
batch_d_rt,0.95,5,31,0.0,0.0,43.03994190705129,62.4957987523581,62.4957987523581,0.0,optimal,62.49579875235797
batch_d_rt,0.95,4,31,0.0,0.0,43.03994190705129,69.1329907576482,69.1329907576482,0.0,optimal,69.13299075764817
batch_d_rt,0.95,3,31,0.0,0.0,43.03994190705129,75.4660662412567,75.4660662412567,0.0,optimal,75.46606624125664
batch_d_rt,0.95,2,31,0.0,0.0,43.03994190705129,84.5843831843653,84.5843831843653,0.0,optimal,84.5843831843652
batch_d_rt,0.95,1,31,0.0,0.0,43.03994190705129,105.255017545945,105.255017545945,0.0,optimal,105.25501754594484
batch_c_rt,0.95,21,40,0.0,0.0,43.03994190705129,23.8763639688016,23.8763639688016,0.0,optimal,23.876363968801616
